City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
178,Krasnodon,48.2923,39.7373,68.76,77,76,6.13,UA,2021-07-30 01:38:12,light rain
179,Ostrovnoy,68.0531,39.5131,43.02,88,9,2.06,RU,2021-07-30 01:38:13,clear sky
180,Sobolevo,54.4299,31.8996,62.02,98,68,4.45,RU,2021-07-30 01:38:13,light rain
181,Yuncheng,35.0231,110.9928,88.83,44,0,4.9,CN,2021-07-30 01:38:16,clear sky
182,Kutum,14.2,24.6667,79.14,57,87,5.66,SD,2021-07-30 01:38:16,overcast clouds
183,Northam,51.0333,-4.2167,61.02,91,88,24.02,GB,2021-07-30 01:38:17,overcast clouds
184,Anadyr,64.75,177.4833,41.5,87,75,17.9,RU,2021-07-30 01:38:17,light intensity shower rain
185,Manta,-0.95,-80.7333,74.98,78,75,9.22,EC,2021-07-30 01:34:00,broken clouds
186,Brae,60.3964,-1.353,53.51,96,100,8.23,GB,2021-07-30 01:38:19,overcast clouds
187,Luderitz,-26.6481,15.1594,64.96,38,0,11.63,NA,2021-07-30 01:37:50,clear sky
188,Fremont,37.5483,-121.9886,99.37,53,1,1.01,US,2021-07-30 01:28:58,clear sky
189,Svobodnyy,51.4,128.1333,78.17,59,6,7.23,RU,2021-07-30 01:38:20,clear sky
190,Knysna,-34.0363,23.0471,50.38,71,13,4.18,ZA,2021-07-30 01:38:21,few clouds
191,Namatanai,-3.6667,152.4333,85.08,68,19,2.68,PG,2021-07-30 01:38:22,light rain
192,Iqaluit,63.7506,-68.5145,49.73,81,75,0.0,CA,2021-07-30 01:38:22,broken clouds
193,Bairiki,1.3292,172.9752,87.8,70,20,8.05,KI,2021-07-30 01:38:23,few clouds
194,Isangel,-19.55,169.2667,75.92,77,39,8.41,VU,2021-07-30 01:38:23,scattered clouds
195,Gushi,34.6425,109.5843,91.65,33,0,5.48,CN,2021-07-30 01:36:17,clear sky
196,Cayenne,4.9333,-52.3333,77.09,89,0,0.0,GF,2021-07-30 01:36:36,clear sky
197,Hambantota,6.1241,81.1185,77.34,100,20,8.05,LK,2021-07-30 01:38:25,few clouds
198,Adrar,20.5022,-10.0711,86.4,38,49,16.49,MR,2021-07-30 01:38:25,scattered clouds
199,Lata,40.1629,-8.3327,61.81,99,39,1.83,PT,2021-07-30 01:38:26,scattered clouds
200,Catabola,-12.15,17.2833,50.77,37,6,3.89,AO,2021-07-30 01:38:26,clear sky
201,Zyryanka,65.75,150.85,50.02,61,100,7.14,RU,2021-07-30 01:38:26,overcast clouds
202,Mahajanga,-15.7167,46.3167,71.62,64,20,6.91,MG,2021-07-30 01:38:27,few clouds
203,Hobyo,5.3505,48.5268,76.15,82,100,23.62,SO,2021-07-30 01:38:27,overcast clouds
204,Ambilobe,-13.2,49.05,62.53,90,0,3.65,MG,2021-07-30 01:38:28,clear sky
205,Zhigansk,66.7697,123.3711,68.4,39,3,4.99,RU,2021-07-30 01:37:53,clear sky
206,Fukue,32.6881,128.8419,84.56,74,75,6.91,JP,2021-07-30 01:38:28,broken clouds
207,Arlit,18.7369,7.3853,91.35,41,6,10.42,NE,2021-07-30 01:38:29,clear sky
208,Lorengau,-2.0226,147.2712,85.35,68,31,5.21,PG,2021-07-30 01:36:52,scattered clouds
209,Genhe,50.7833,121.5167,76.33,50,2,4.18,CN,2021-07-30 01:38:29,clear sky
210,Soyo,-6.1349,12.3689,71.58,89,13,9.84,AO,2021-07-30 01:38:30,few clouds
211,Olafsvik,64.8945,-23.7142,52.75,87,99,5.08,IS,2021-07-30 01:38:31,overcast clouds
212,Hirara,24.8,125.2833,89.87,79,75,9.22,JP,2021-07-30 01:38:31,broken clouds
213,Colares,38.7992,-9.4469,65.28,78,1,15.99,PT,2021-07-30 01:38:31,clear sky
214,Huarmey,-10.0681,-78.1522,64.81,86,55,8.34,PE,2021-07-30 01:38:32,broken clouds
215,Muisne,0.6,-80.0333,75.22,82,96,7.78,EC,2021-07-30 01:34:55,overcast clouds
216,Beringovskiy,63.05,179.3167,42.51,90,100,11.34,RU,2021-07-30 01:36:52,light rain
217,Mabaruma,8.2,-59.7833,73.29,91,100,2.04,GY,2021-07-30 01:38:33,overcast clouds
218,Dueville,45.6337,11.5502,75.31,87,1,1.01,IT,2021-07-30 01:38:34,clear sky
219,Phangnga,8.4509,98.5298,81.91,95,100,6.2,TH,2021-07-30 01:38:35,moderate rain
220,Phuket,8.0,98.25,82.09,88,75,17.27,TH,2021-07-30 01:38:35,light rain
221,Zapolyarnyy,69.4154,30.8136,45.68,88,100,4.27,RU,2021-07-30 01:38:36,overcast clouds
222,Talnakh,69.4865,88.3972,57.47,91,100,2.35,RU,2021-07-30 01:38:36,light rain
223,Hamilton,39.1834,-84.5333,82.35,83,56,5.32,US,2021-07-30 01:36:35,broken clouds
224,Raga,8.4596,25.678,68.23,96,100,5.59,SS,2021-07-30 01:38:37,overcast clouds
225,Pangnirtung,66.1451,-65.7125,51.39,70,15,2.84,CA,2021-07-30 01:37:48,few clouds
226,Nanortalik,60.1432,-45.2371,46.29,80,100,16.42,GL,2021-07-30 01:38:37,overcast clouds
227,Bethel,41.3712,-73.414,71.69,91,90,1.01,US,2021-07-30 01:38:38,overcast clouds
228,Amot,59.5714,7.9877,55.51,95,100,4.38,NO,2021-07-30 01:38:38,overcast clouds
229,Ahipara,-35.1667,173.1667,62.28,76,57,15.39,NZ,2021-07-30 01:36:55,broken clouds
230,Kahului,20.8947,-156.47,86.02,75,40,29.93,US,2021-07-30 01:38:04,scattered clouds
231,Kurumkan,54.3,110.3,73.44,59,6,3.83,RU,2021-07-30 01:38:39,clear sky
232,Bafq,31.6128,55.4107,78.24,28,2,4.18,IR,2021-07-30 01:38:40,clear sky
233,Faanui,-16.4833,-151.75,78.08,76,36,10.0,PF,2021-07-30 01:38:40,light rain
234,Gat,31.61,34.7642,80.4,79,0,5.5,IL,2021-07-30 01:36:03,clear sky
235,Shiozawa,37.0333,138.85,89.33,61,13,4.74,JP,2021-07-30 01:38:41,few clouds
236,Taoudenni,22.6783,-3.9836,95.31,31,46,9.91,ML,2021-07-30 01:38:41,scattered clouds
237,Kavieng,-2.5744,150.7967,83.84,71,71,3.91,PG,2021-07-30 01:38:23,light rain
238,Praya,14.9215,-23.5087,77.54,73,75,11.5,CV,2021-07-30 01:38:42,broken clouds
239,Tungor,53.3808,142.9564,60.17,98,100,5.41,RU,2021-07-30 01:38:42,overcast clouds
240,Korla,41.7597,86.1469,92.48,18,17,23.31,CN,2021-07-30 01:37:11,few clouds
241,Flagstaff,35.1981,-111.6513,73.06,85,90,10.0,US,2021-07-30 01:38:43,light rain
242,Ritchie,-29.038,24.6028,41.07,47,0,2.77,ZA,2021-07-30 01:38:43,clear sky
243,Andijon,40.7821,72.3442,79.95,21,31,7.65,UZ,2021-07-30 01:38:44,scattered clouds
244,Gamba,-2.65,10.0,73.81,83,99,7.96,GA,2021-07-30 01:38:44,overcast clouds
245,Kompaniyivka,48.2511,32.208,69.49,87,100,9.64,UA,2021-07-30 01:38:45,overcast clouds
246,Paraiso,9.8383,-83.8656,68.16,97,62,2.15,CR,2021-07-30 01:38:45,broken clouds
247,Asau,46.4333,26.4,67.75,95,0,3.67,RO,2021-07-30 01:34:50,clear sky
248,Casper,42.8666,-106.3131,82.99,49,1,5.99,US,2021-07-30 01:38:45,clear sky
249,Faya,18.3851,42.4509,68.11,68,87,4.25,SA,2021-07-30 01:38:46,overcast clouds
250,Coquimbo,-29.9533,-71.3436,49.73,87,20,2.3,CL,2021-07-30 01:34:47,few clouds
251,Zlobin,45.2924,14.6541,65.5,85,0,1.14,HR,2021-07-30 01:38:46,clear sky
252,Tuatapere,-46.1333,167.6833,50.83,76,100,1.32,NZ,2021-07-30 01:34:51,overcast clouds
253,Gorin,51.1983,136.6669,65.97,71,96,10.36,RU,2021-07-30 01:38:47,overcast clouds
254,Impfondo,1.6381,18.0667,72.54,68,37,1.3,CG,2021-07-30 01:38:47,scattered clouds
255,Otradnoye,59.7775,30.8181,62.65,90,57,6.15,RU,2021-07-30 01:38:48,broken clouds
256,Erenhot,43.6475,111.9767,80.71,39,0,12.95,CN,2021-07-30 01:38:48,clear sky
257,Taksimo,56.3444,114.8794,74.01,56,0,3.22,RU,2021-07-30 01:38:49,clear sky
258,Shirgaon,19.7,72.7,81.39,86,100,18.37,IN,2021-07-30 01:38:49,overcast clouds
259,Verkhnetulomskiy,68.6073,31.7962,44.73,86,100,2.82,RU,2021-07-30 01:38:49,overcast clouds
260,Khromtau,50.2503,58.4347,64.87,43,100,6.51,KZ,2021-07-30 01:38:50,overcast clouds
261,Nome,64.5011,-165.4064,50.16,93,90,12.66,US,2021-07-30 01:38:50,overcast clouds
262,Suez,29.9737,32.5263,76.23,63,0,5.44,EG,2021-07-30 01:35:05,clear sky
263,Saint-Cyr-Sur-Loire,47.4,0.6667,61.05,84,90,5.75,FR,2021-07-30 01:38:51,overcast clouds
